عبدالخالق الحوثي
إياد خليل 
عبدالملك عبد السلام
اشرف عبد السلام
عبد العزيز عباسین
نشوان عبد الباقي
همام عبدالغفور
كمال عبد الله
عبد الله عبد الرحمن
عزیز الرحمان عبدالاحد
عبدالغنی ترک
عبدالقدیر عبدالبصير
نظر عبدالبصیر
عبدالغفار عبدالغنی
عبدالستار عبدالمنان
عبدالمنان آغا
عبدالحی عبدالقادر
احمد عبدالقادر
سید عبدالقدوس
شمس الرحمن عبدالظاهر
امیر عبد الله
عبد الرحمن
عبد الصمد اچکزی
آدم خان اچکزی
اياد اغ غالي
عبدالرحمان آغا
احمد ضیاآغا
جانان آغا
سید ﺁغا
سيد غیاث الدین
تورک آغا
فرهاد أحمد
محمد أحمد
جابر الجلاهمة
محمد احمدی
عدنان أحمد
طاريق احمد
زكي احمد
احمد محمد
صلاح محمد
عبدالباری ﺁخوند
عتیق الله آخوند
محمد آخوند
محمد آخوند
محمد آخوند
محمد آخوند
احمد زاده
احسان آخوندزاده
محمدآخوند زاده
جمال عكاشة
عبد الله الحاكم
منيره القبيسي
محمود الأحمد
حامد العلي
محرز العمدوني
أديب العاني
محمد العوادي
إبراهيم العسيري
أنور العولقي
قائد العوادي
حكمت العزاوي
ابراهیم البکر
سعيد الشريف
سالم الدبيسكي
مثنى الضاري
نورالدين الدريسي
خلف الدليمي
لطيف الدليمي
عزت الدوري
جوهر الدوري
عبدالعزیز الفضیل
خالد الفواز
عثمان الغامدي
فتحي الحداد
كمال الحمراوي
 بسام الحصري 
عماد الجمالي
أبومحمد الجولاني
طه الجزراوي
سعد الكعبي
محمد الكاشف
عبداللطیف الكواري
محسن الخفاجي
عمر الكبيسي
حبيب اللوبيري
طارق المعروفي
سالم المنصور
سيف الدين المشهداني
عبدالحميد المصلي
أكرم المزيده
غازي المزيده
خميس المحمد
سمير النجم
زهير النقيب
عزيز النومان
نايف القيسي
نضال الربيعي
عياد الراوي
سيف الدين الراوي
قاسم الريمي
عامر السعدي
عبد الباقي السعدون
محمد السعدون
عدنان الصحراوي 
محمد الصالح
حمد الشمري
خليفة السبيعي
سلطان الطائي
عابد التكريتي
علي التكريتي
علي التكريتي
برزان التكريتي
حلا التكريتي
حامد التكريتي
هاني التكريتي
إبراهيم التكريتي
جمال التكريتي
مزاحم التكريتي
قصي التكريتي
رافي التكريتي
رغد التكريتي
رنا التكريتي
روكان التكريتي
سعد التكريتي
سبعاوي التكريتي
صدام التكريتي
طاهر التكريتي
عدي التكريتي
وليد التكريتي
وطبان التكريتي
مراد الطرابلسي
حسن التركي
عامر العبيدي
غازي العبيدي
يحيى العبيدي
انتصار العبيدي
محفوظ الوليد
حسام الياسين
فيصل الزهراني
غالب الزيدي
أيمن الظواهري
عبدالمجيد الزنداني
عكلة القبيسي
سليمان أبوغيث
إبراهيم السامرائي
مطیع الرحمن محمد
عبد الحبیب عالیزی
حمدالله نور
